,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,OAK201808210,juraa001,24,26,0,10,1,0,0,0,0,1,0,0,4,5.666666666666667
0,OAK201907250,juraa001,33,39,0,3,6,0,0,0,0,2,0,0,3,7.0
0,HOU201807280,juraa001,28,22,1,2,2,0,0,0,0,1,0,0,1,6.0
0,TEX201905310,juraa001,35,36,1,5,6,0,0,0,0,3,0,0,2,6.0
0,CHA201908220,juraa001,40,35,2,10,2,0,0,1,0,1,0,0,6,8.0
0,TEX201906060,juraa001,29,30,1,8,6,0,0,0,0,1,0,1,3,6.0
0,CHA201805190,juraa001,28,30,0,6,2,0,0,0,0,1,1,0,4,4.666666666666667
0,TEX201908170,juraa001,22,19,1,7,0,0,0,0,0,2,0,0,2,2.0
0,TEX201907140,juraa001,34,32,0,7,3,0,0,0,0,4,0,0,5,4.0
0,TEX201907300,juraa001,29,30,2,7,3,0,0,0,0,2,0,0,3,4.0
0,BOS201906110,juraa001,32,32,1,5,6,0,0,0,0,3,0,0,3,6.0
0,TEX201905180,juraa001,26,28,0,5,4,0,1,1,0,1,0,0,1,4.333333333333333
0,ANA201905260,juraa001,38,26,1,6,3,0,0,0,0,2,0,0,1,6.333333333333333
0,NYA201808090,juraa001,29,19,4,7,1,0,0,0,0,3,0,0,6,5.0
0,TEX201808030,juraa001,33,27,0,6,3,0,0,0,0,2,0,0,2,5.0
0,TEX201808160,juraa001,29,25,1,9,3,0,0,0,0,1,0,0,6,6.0
0,TOR201908120,juraa001,30,25,2,11,3,0,1,0,0,1,0,0,6,3.6666666666666665
0,TEX201909110,juraa001,18,15,0,6,1,0,0,0,0,2,0,0,4,1.6666666666666665
0,TEX201906210,juraa001,29,27,1,6,3,0,0,0,0,1,0,1,4,6.0
0,DET201906270,juraa001,28,31,0,6,4,0,0,0,0,1,0,1,0,7.0
0,TEX201808280,juraa001,25,19,0,5,1,0,0,0,0,2,0,0,3,2.6666666666666665
0,CIN201906160,juraa001,27,28,1,9,0,0,0,0,0,1,0,1,6,3.0
0,SEA201809270,juraa001,29,25,0,2,3,0,0,0,0,0,0,0,0,6.0
0,CLE201908071,juraa001,41,29,1,3,5,0,0,0,0,2,0,0,2,7.0
0,BAL202009010,juraa001,31,26,1,9,2,0,0,0,0,0,0,0,5,4.0
0,TEX201907030,juraa001,35,35,2,7,7,0,0,0,0,1,0,0,6,6.0
0,HOU201907200,juraa001,32,33,1,8,4,0,0,0,0,1,0,0,5,5.0
