,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SDN201905070,quanc001,31,30,0,7,5,0,1,0,0,2,0,1,2,4.333333333333333
0,SDN201907140,quanc001,35,26,0,3,3,0,0,0,0,1,0,1,0,6.0
0,SDN201908140,quanc001,38,36,1,3,4,0,0,0,0,1,0,0,2,5.333333333333333
0,TOR201905250,quanc001,36,35,2,2,9,0,0,0,0,2,0,0,3,6.0
0,SDN201908270,quanc001,39,28,1,8,1,0,0,0,0,3,0,0,5,4.333333333333333
0,ATL201905010,quanc001,37,23,0,6,3,0,0,0,0,1,0,0,2,5.666666666666667
0,LAN201908030,quanc001,22,28,1,6,3,0,0,0,0,0,0,0,2,5.0
0,SDN201907270,quanc001,32,27,0,3,4,0,0,0,0,4,0,0,1,5.333333333333333
0,SDN201909090,quanc001,29,26,2,10,5,0,0,0,0,2,0,0,7,4.333333333333333
0,COL201909150,quanc001,31,24,1,6,3,0,0,0,0,2,1,0,4,3.0
0,ARI201909020,quanc001,28,30,1,10,4,0,0,0,0,1,0,0,8,5.0
0,SDN201905190,quanc001,36,34,1,8,2,0,1,0,0,2,0,0,5,5.0
0,SDN201909210,quanc001,20,16,0,2,6,0,0,0,0,0,0,0,1,5.0
0,SDN201908090,quanc001,31,34,0,5,5,0,0,0,0,0,0,0,0,7.0
0,COL201906140,quanc001,32,26,1,6,1,0,0,1,0,1,0,1,4,5.0
0,SDN201907030,quanc001,25,23,2,5,4,0,0,0,0,1,0,0,3,4.333333333333333
0,CIN201908200,quanc001,37,40,1,5,9,0,0,0,0,0,0,0,3,6.0
0,SDN201906050,quanc001,28,29,1,5,7,0,0,0,0,0,0,0,2,5.0
