,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SLN201809120,poncd001,27,34,0,5,7,0,0,0,0,1,0,0,2,5.0
0,SLN201907120,poncd001,35,34,1,3,7,0,0,0,0,0,0,1,1,6.666666666666667
0,SLN201904230,poncd001,35,31,1,2,7,0,0,0,0,2,1,0,1,5.0
0,SLN201907270,poncd001,18,14,0,3,0,0,0,0,0,4,0,0,2,2.3333333333333335
0,NYN201906140,poncd001,27,21,0,2,3,0,0,0,0,4,0,0,1,4.0
0,SLN201809010,poncd001,24,25,0,5,4,0,0,0,0,1,0,0,3,3.3333333333333335
0,SLN201907170,poncd001,25,24,1,8,3,0,0,1,0,1,1,0,4,3.6666666666666665
0,SLN201906190,poncd001,29,30,0,2,6,0,0,0,0,1,0,0,0,6.0
0,CIN201807230,poncd001,38,38,0,0,3,0,0,0,0,3,0,0,0,7.0
0,LAN201808210,poncd001,27,30,0,5,8,0,0,0,0,1,0,1,1,4.0
0,PIT201907220,poncd001,31,27,0,3,3,0,0,0,0,4,0,0,1,3.0
0,SLN201909012,poncd001,26,27,1,5,2,0,0,0,0,1,0,1,2,4.0
