,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHN201407280,wadat001,36,61,0,5,6,0,0,0,0,1,0,0,1,7.0
0,WAS201506050,wadat001,25,37,1,9,1,0,0,0,0,1,1,0,5,3.6666666666666665
0,CHN201505250,wadat001,32,51,1,4,6,0,0,1,0,2,0,0,1,5.333333333333333
0,CHN201409050,wadat001,29,41,0,3,2,0,0,0,0,1,0,2,1,3.3333333333333335
0,CHN201409180,wadat001,30,50,0,5,5,0,1,0,0,1,0,0,1,5.0
0,CHN201408240,wadat001,33,59,1,1,8,0,0,0,0,1,0,0,1,6.333333333333333
0,SDN201505200,wadat001,24,45,1,4,9,0,0,0,0,1,0,1,2,4.666666666666667
0,LAN201408020,wadat001,38,65,1,6,6,0,0,0,0,1,1,1,2,5.666666666666667
0,PIT201409120,wadat001,29,54,0,9,2,0,0,0,0,2,0,0,3,4.333333333333333
0,MIL201409270,wadat001,31,57,1,8,4,0,0,0,0,1,0,0,2,5.0
0,CHN201407230,wadat001,34,53,0,5,4,0,0,0,0,4,0,0,4,4.0
0,CLE201506170,wadat001,38,69,0,4,6,0,0,0,0,2,0,0,0,6.666666666666667
0,CHN201408080,wadat001,31,63,1,4,6,0,0,0,0,1,0,0,1,6.0
0,CHN201506220,wadat001,8,18,1,2,1,0,0,0,0,0,0,0,1,2.0
0,CHN201408190,wadat001,23,56,0,6,3,0,0,0,0,0,0,0,0,5.0
0,CHN201506110,wadat001,26,47,1,4,4,0,0,0,0,2,0,0,3,3.0
0,CIN201407082,wadat001,29,58,0,5,3,0,1,0,0,1,0,0,0,5.0
0,SLN201408302,wadat001,34,53,1,5,3,0,0,0,0,3,0,0,3,6.0
0,CHN201505310,wadat001,30,66,0,2,4,0,0,0,0,2,0,0,0,5.666666666666667
0,CHN201408130,wadat001,30,67,2,5,5,0,0,0,0,1,0,0,2,6.666666666666667
