,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIA201405060,alvah001,31,78,0,6,7,0,0,0,0,0,0,1,0,9.0
0,PHI201709170,alvah001,30,55,2,4,4,0,0,0,0,2,0,0,2,5.0
0,MIA201404190,alvah001,28,62,0,2,4,0,0,0,0,0,0,0,0,9.0
0,SDN201405110,alvah001,37,44,1,7,2,0,0,0,0,3,0,0,5,4.0
0,PHI201709300,alvah001,42,45,0,5,0,0,0,0,0,6,0,0,3,4.666666666666667
0,MIA201505220,alvah001,38,47,0,6,2,0,0,0,0,3,1,0,2,5.0
0,PHI201404130,alvah001,33,58,1,12,5,0,1,0,0,2,1,0,3,6.0
0,MIA201407190,alvah001,7,26,0,3,2,0,0,0,0,0,0,0,1,2.6666666666666665
0,MIA201406030,alvah001,30,58,0,8,5,0,0,0,0,0,0,0,0,9.0
0,ANA201408270,alvah001,31,64,2,8,3,0,0,0,0,1,0,1,5,6.333333333333333
0,MIA201407010,alvah001,27,70,0,7,3,0,0,0,0,1,0,0,2,7.0
0,MIA201404020,alvah001,18,38,0,7,1,0,1,1,0,2,0,0,3,3.0
0,PHI201406250,alvah001,32,58,0,7,3,0,0,0,0,1,1,1,1,6.666666666666667
0,MIA201405010,alvah001,30,59,2,8,4,0,0,0,0,2,0,0,4,6.0
0,NYN201407110,alvah001,23,59,2,8,3,0,0,0,0,0,0,0,6,5.0
0,MIA201505170,alvah001,29,56,0,9,2,0,0,1,0,2,0,0,6,5.333333333333333
0,SLN201407060,alvah001,30,62,1,5,3,0,0,0,0,1,0,1,1,7.0
0,COL201408220,alvah001,31,65,2,10,5,0,0,0,0,0,0,0,4,6.0
0,MIA201408160,alvah001,31,58,0,5,6,0,0,0,0,1,0,0,1,7.0
0,MIA201407290,alvah001,38,64,0,3,4,0,0,0,0,4,0,0,0,7.0
0,WAS201405280,alvah001,19,43,0,5,2,0,0,0,0,0,0,1,0,5.0
0,MIA201409010,alvah001,12,28,1,3,1,0,0,0,0,1,0,0,3,2.3333333333333335
0,PHI201409120,alvah001,37,64,0,7,4,0,0,1,0,0,0,2,1,7.0
0,WAS201404080,alvah001,30,50,0,6,4,0,0,0,0,2,0,0,1,5.666666666666667
0,MIA201504060,alvah001,25,56,0,6,2,0,0,0,1,0,0,0,2,7.0
0,MIA201409230,alvah001,31,66,0,5,2,0,0,0,0,1,0,0,0,7.666666666666667
0,MIA201405220,alvah001,40,65,0,4,3,0,0,0,0,2,0,0,0,7.0
0,MIA201406150,alvah001,38,74,0,7,6,0,0,0,0,2,0,1,2,7.0
0,ATL201709230,alvah001,37,56,0,5,2,0,0,0,1,2,1,0,0,5.0
0,MIA201504120,alvah001,34,49,1,7,3,0,0,2,0,1,0,0,4,5.0
0,NYN201404250,alvah001,36,63,0,6,4,0,0,0,0,1,1,0,2,6.0
0,CHN201406080,alvah001,15,54,0,7,5,0,0,0,0,0,0,0,0,5.333333333333333
0,ATL201407240,alvah001,37,64,1,6,4,0,0,0,0,1,0,0,2,8.0
0,MIA201406200,alvah001,30,64,0,7,5,0,0,0,0,0,0,0,0,6.333333333333333
0,NYN201409170,alvah001,34,64,0,8,4,0,0,0,0,2,0,0,2,6.0
0,WAS201409280,alvah001,26,61,1,11,3,0,0,0,0,0,0,0,1,6.666666666666667
0,SFN201405160,alvah001,26,58,0,10,4,0,0,0,0,0,0,0,4,6.0
