,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BAL201506140,warra001,33,28,0,6,5,0,0,0,0,3,0,0,3,4.666666666666667
0,DET201504220,warra001,38,31,0,5,3,0,0,0,0,4,0,0,4,5.666666666666667
0,OAK201505310,warra001,36,30,1,6,4,0,0,0,0,1,0,0,2,6.666666666666667
0,WAS201505200,warra001,36,30,2,4,4,0,1,1,0,4,0,0,2,6.333333333333333
0,TBA201505130,warra001,34,31,1,7,7,0,0,0,0,1,0,0,3,7.0
0,NYA201509260,warra001,37,25,0,3,4,0,0,0,0,3,0,0,1,6.0
0,TBA201509150,warra001,24,21,0,6,4,0,0,0,0,0,0,0,2,4.0
0,CHN201607060,warra001,27,31,1,3,6,0,0,0,0,0,0,0,1,5.0
0,NYA201504270,warra001,25,28,0,5,6,0,0,2,0,0,0,0,1,5.666666666666667
0,NYA201505080,warra001,34,27,0,7,2,0,0,0,0,3,0,0,2,4.666666666666667
0,TBA201504170,warra001,29,26,2,6,2,0,0,0,0,2,0,0,4,4.0
0,NYA201506190,warra001,34,37,0,7,7,0,1,1,0,0,0,1,2,8.0
0,HOU201506250,warra001,34,28,0,5,4,0,0,0,0,1,0,1,2,5.666666666666667
0,NYA201506060,warra001,40,31,1,4,2,0,0,0,0,3,0,1,2,6.666666666666667
0,NYA201504110,warra001,36,32,0,5,1,0,0,0,0,2,0,0,1,5.333333333333333
0,NYA201505260,warra001,26,31,1,2,5,0,0,0,0,0,0,0,1,6.333333333333333
0,TOR201509210,warra001,32,26,0,5,5,0,0,1,0,1,0,1,3,3.3333333333333335
0,BOS201505030,warra001,40,30,0,4,2,0,0,0,0,2,0,1,2,5.666666666666667
