,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIA201707280,romas001,37,41,0,2,5,0,0,1,0,6,0,0,0,3.6666666666666665
0,CIN201805090,romas001,34,62,0,4,7,0,0,0,0,1,0,0,1,6.0
0,CIN201805192,romas001,40,62,1,6,6,0,0,1,0,5,1,0,7,5.0
0,SFN201805140,romas001,28,38,0,8,2,0,0,0,0,2,0,0,6,2.3333333333333335
0,CIN201809300,romas001,17,42,0,3,1,0,0,1,0,1,0,0,2,5.0
0,CIN201806240,romas001,27,53,1,8,6,0,0,0,0,1,0,0,5,5.0
0,CIN201709160,romas001,23,74,0,5,6,0,0,0,0,0,0,0,0,8.0
0,CIN201806190,romas001,33,74,0,4,6,0,0,0,0,4,0,0,0,7.0
0,CLE201807100,romas001,40,60,2,5,1,0,0,0,0,2,0,0,3,7.333333333333333
0,MIL201708130,romas001,34,56,1,8,6,0,0,0,0,1,0,1,6,5.0
0,CIN201708240,romas001,38,63,1,6,7,0,0,0,0,2,1,0,2,7.0
0,COL201805250,romas001,36,43,1,8,5,0,0,0,0,3,1,0,5,5.333333333333333
0,CIN201806290,romas001,29,55,1,7,5,0,0,0,0,2,0,1,2,5.0
0,MIL201804170,romas001,34,45,1,4,4,0,1,1,0,2,0,0,2,5.0
0,CIN201707230,romas001,32,66,1,3,7,0,0,0,0,1,0,0,1,6.0
0,COL201707060,romas001,27,54,0,6,6,0,1,0,0,1,0,0,2,5.0
0,CIN201808140,romas001,25,23,0,7,1,0,0,0,0,1,1,0,6,1.6666666666666665
0,CIN201704160,romas001,43,39,2,3,2,0,0,0,0,4,0,1,2,3.0
0,ATL201708180,romas001,46,56,1,5,3,0,0,0,0,2,0,0,1,7.0
0,NYN201808070,romas001,30,54,0,2,5,0,0,0,0,3,0,1,1,6.0
0,CIN201804120,romas001,41,54,1,6,4,0,0,0,0,4,0,0,4,4.333333333333333
0,NYN201709100,romas001,31,66,0,8,6,0,0,0,0,0,0,0,2,5.0
0,PIT201708030,romas001,32,70,0,8,3,0,0,1,0,0,0,0,4,6.0
0,KCA201806120,romas001,38,68,1,4,2,0,0,0,0,1,0,0,1,8.0
0,CIN201805040,romas001,36,57,1,3,2,0,0,0,0,2,0,1,1,5.333333333333333
0,MIL201709280,romas001,44,69,0,7,7,0,0,0,0,2,0,1,3,5.666666666666667
0,CIN201806060,romas001,31,62,1,6,6,0,0,0,0,1,0,0,4,5.0
0,CIN201804010,romas001,46,53,2,4,2,0,0,0,0,3,1,0,3,6.0
0,CIN201804230,romas001,35,63,1,4,5,0,0,0,0,1,0,0,1,6.0
0,MIN201804280,romas001,37,52,1,6,1,0,0,0,0,2,0,0,2,4.666666666666667
0,CIN201807250,romas001,33,66,1,7,5,0,0,0,0,1,0,0,2,6.0
0,MIL201808210,romas001,37,54,1,7,5,0,0,1,0,1,1,0,5,5.0
0,CIN201708080,romas001,38,53,1,9,2,0,0,1,0,2,0,1,5,6.0
0,CIN201807040,romas001,34,61,2,6,6,0,0,0,0,0,0,0,4,5.0
0,PIT201804070,romas001,21,56,0,7,1,0,0,0,0,1,0,0,4,5.0
0,ARI201805300,romas001,27,54,2,7,3,0,0,0,0,0,0,0,4,5.0
0,DET201808010,romas001,26,65,1,8,3,0,0,0,0,0,0,0,3,5.333333333333333
0,PIT201709030,romas001,32,63,1,4,2,0,0,0,0,4,0,0,1,5.666666666666667
0,CIN201708290,romas001,37,59,0,6,5,0,0,1,0,2,0,0,3,6.0
0,CIN201707180,romas001,45,50,0,6,3,0,0,0,0,4,1,0,5,4.0
0,CIN201709220,romas001,31,49,1,5,3,0,0,1,0,4,0,0,5,4.0
