,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TEX201809170,glast001,37,49,0,2,6,0,0,1,0,2,0,1,0,6.0
0,TBA201909210,glast001,14,38,0,2,7,0,0,0,0,0,0,0,0,3.0
0,TBA201808230,glast001,40,58,0,5,8,0,0,0,0,2,1,0,3,5.0
0,PIT201704210,glast001,37,65,0,7,5,0,0,0,0,2,0,0,1,4.666666666666667
0,TBA201809110,glast001,24,66,2,6,3,0,0,1,0,0,0,0,2,7.0
0,TBA201808070,glast001,19,42,1,2,9,0,0,0,0,0,0,0,1,4.0
0,PIT201609250,glast001,24,43,0,7,5,0,0,0,0,1,0,0,3,3.0
0,TBA201905100,glast001,34,58,0,5,9,0,0,0,0,2,0,0,1,5.333333333333333
0,MIL201709130,glast001,41,40,1,4,3,0,0,0,0,5,1,0,5,2.6666666666666665
0,PIT201705180,glast001,30,57,1,3,6,0,0,0,0,3,0,0,2,5.0
0,SLN201609300,glast001,37,42,1,1,4,0,0,1,0,4,0,1,1,5.0
0,ANA201909140,glast001,22,29,0,2,5,0,0,1,0,1,0,0,0,3.0
0,ATL201705230,glast001,34,61,1,9,4,0,0,0,0,1,1,0,2,5.666666666666667
0,PIT201704260,glast001,43,46,0,6,4,0,0,0,0,4,0,1,2,3.3333333333333335
0,PIT201705070,glast001,37,62,1,6,6,0,0,0,0,2,0,0,3,6.333333333333333
0,CIN201705020,glast001,39,66,1,4,5,0,0,0,0,4,0,0,3,6.0
0,PIT201607230,glast001,34,41,0,4,2,0,0,0,0,3,0,2,1,3.0
0,CHA201904100,glast001,31,54,0,2,11,0,0,0,0,1,0,0,0,6.0
0,PIT201705280,glast001,31,56,0,8,3,0,0,1,0,0,0,0,5,5.0
0,BAL201905030,glast001,30,62,0,3,8,0,0,0,0,0,0,0,0,7.0
0,PIT201704100,glast001,29,35,0,4,1,0,0,0,0,5,0,0,5,1.6666666666666665
0,TOR201809220,glast001,36,62,1,6,6,0,0,0,1,2,0,0,3,6.0
0,SLN201607070,glast001,32,55,1,3,5,0,0,1,0,2,0,0,2,5.333333333333333
0,TBA201808010,glast001,14,34,1,2,5,0,0,0,0,1,0,0,1,3.0
0,TBA201909080,glast001,16,25,1,1,5,0,0,0,0,2,0,0,2,2.0
0,BOS201808180,glast001,44,50,1,3,4,0,1,0,0,3,0,0,4,6.666666666666667
0,TBA201904210,glast001,27,49,1,3,5,0,1,0,0,3,0,0,1,5.333333333333333
0,TOR201808120,glast001,31,48,0,2,6,0,0,0,0,2,0,0,0,5.0
0,CHN201704150,glast001,44,55,1,6,7,0,0,0,0,2,0,1,4,5.0
0,BOS201904280,glast001,37,65,1,6,9,0,0,0,0,1,0,0,2,6.666666666666667
0,TOR201909270,glast001,31,35,0,0,4,0,0,1,0,2,0,0,0,4.333333333333333
0,TBA201809280,glast001,35,60,2,7,9,0,1,1,0,3,0,1,2,5.333333333333333
0,PIT201706090,glast001,22,43,2,10,1,0,0,0,0,0,0,0,6,4.0
0,SFN201904050,glast001,23,59,0,3,6,0,0,0,0,1,0,0,0,6.0
0,TBA201904160,glast001,26,61,0,7,3,0,0,0,0,0,0,0,2,7.0
0,ARI201705120,glast001,21,37,2,7,3,0,0,0,0,2,0,0,7,2.3333333333333335
0,TBA201903300,glast001,26,51,1,6,4,0,0,0,0,1,0,0,1,5.0
0,NYN201706030,glast001,40,49,3,5,5,0,0,1,0,3,0,0,4,4.666666666666667
0,TOR201809050,glast001,16,23,1,5,2,0,0,1,0,2,0,0,6,1.0
0,CLE201808310,glast001,23,56,1,2,6,0,0,0,0,1,0,1,1,7.0
