,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CLE201406040,workb001,33,52,0,4,3,0,0,0,0,2,0,0,1,5.0
0,BOS201407020,workb001,27,42,2,5,3,0,0,0,0,3,0,0,6,4.0
0,BOS201408230,workb001,24,60,1,10,3,0,0,1,0,1,0,0,7,3.3333333333333335
0,NYA201406270,workb001,32,76,2,7,5,0,0,0,0,2,0,0,4,7.0
0,BOS201405300,workb001,38,51,0,4,4,0,0,0,0,2,0,0,2,5.333333333333333
0,NYA201409040,workb001,31,65,0,5,5,0,0,0,0,2,0,0,3,6.0
0,BOS201407300,workb001,42,57,0,4,2,0,0,0,0,4,0,0,2,5.0
0,SLN201408070,workb001,35,61,1,6,5,0,0,0,0,2,0,0,4,5.333333333333333
0,TBA201405250,workb001,37,51,1,5,3,0,0,0,0,3,0,0,3,5.0
0,BOS201407080,workb001,36,69,1,8,5,0,0,0,0,2,0,0,3,7.0
0,BOS201409100,workb001,25,37,0,6,3,0,0,0,0,3,0,0,5,3.0
0,BOS201408180,workb001,27,57,0,6,5,0,0,0,0,2,0,0,2,7.0
0,PIT201409180,workb001,35,60,1,7,6,0,0,0,0,3,0,0,2,5.0
0,BOS201406150,workb001,35,68,1,5,7,0,0,0,0,2,0,1,1,6.0
0,BAL201406100,workb001,25,42,0,1,4,0,0,0,0,1,0,0,0,6.666666666666667
