,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SDN202008080,kellm002,31,25,1,6,4,0,0,0,0,0,0,0,1,6.0
0,MIL201908230,kellm002,34,35,2,8,5,0,0,0,0,4,0,0,5,4.333333333333333
0,SDN201904010,kellm002,28,28,1,5,3,0,0,0,0,2,0,0,3,6.0
0,COL201905280,kellm002,32,33,1,7,5,0,0,0,0,1,0,0,4,6.666666666666667
0,ARI201909140,kellm002,28,31,0,3,5,0,2,0,0,2,0,0,0,7.0
0,CHN201904190,kellm002,42,32,0,6,5,0,0,1,0,7,0,0,3,3.6666666666666665
0,SLN201907130,kellm002,37,28,1,5,5,0,0,0,0,3,0,0,1,5.0
0,ARI202008140,kellm002,35,33,0,3,7,0,0,0,0,1,1,0,0,6.666666666666667
0,SFN201906280,kellm002,24,25,1,7,2,0,0,0,0,1,0,0,3,5.0
0,PIT201904240,kellm002,40,34,2,6,5,0,0,0,0,2,0,0,2,7.0
0,SDN201905220,kellm002,26,18,0,5,0,0,0,0,0,4,0,0,4,1.6666666666666665
0,TBA201905060,kellm002,37,31,1,7,2,0,0,0,0,3,0,1,7,4.0
0,TOR201906070,kellm002,35,28,1,3,3,0,0,0,0,2,0,0,1,7.0
0,ARI201905110,kellm002,28,34,1,8,5,0,0,0,0,0,0,0,3,7.0
0,ARI201905170,kellm002,32,30,0,6,4,0,0,0,0,1,0,0,0,5.333333333333333
0,COL201908120,kellm002,39,28,2,9,5,0,0,0,0,1,1,0,6,5.0
0,ARI201909030,kellm002,35,40,0,3,9,0,0,0,0,2,0,0,0,7.0
0,ARI201906020,kellm002,38,33,1,6,10,0,0,0,0,0,0,0,1,7.666666666666667
0,ARI201909250,kellm002,34,33,1,8,7,0,2,0,0,2,0,0,5,6.0
0,ARI201908050,kellm002,25,30,1,8,4,0,0,0,0,1,0,0,3,6.0
0,ARI201907230,kellm002,21,20,3,8,4,0,0,0,0,0,0,0,7,2.3333333333333335
0,MIA201907290,kellm002,32,31,2,7,4,0,0,0,0,2,0,0,7,6.0
0,SDN201909200,kellm002,38,35,0,2,9,0,0,0,0,3,0,0,0,7.0
0,TEX202007280,kellm002,31,37,1,3,7,0,0,0,0,1,0,0,1,7.666666666666667
0,ARI201908180,kellm002,39,32,0,6,5,0,0,0,0,2,0,0,1,5.666666666666667
0,OAK202008190,kellm002,34,37,1,5,7,0,0,0,0,2,0,1,4,5.0
0,LAN201907030,kellm002,26,33,1,6,2,0,0,0,0,0,0,0,3,6.0
0,PHI201906120,kellm002,26,33,0,3,5,0,0,0,0,0,0,0,0,7.666666666666667
0,ARI201906230,kellm002,34,35,1,4,9,0,0,0,0,1,1,0,2,6.0
0,ARI201904070,kellm002,24,36,1,4,9,0,0,0,0,0,0,0,1,8.0
0,ARI201905010,kellm002,33,31,1,5,2,0,0,0,0,2,0,0,1,5.333333333333333
0,ARI202008020,kellm002,30,28,2,9,4,0,0,0,0,0,0,0,3,6.0
0,ARI201907180,kellm002,27,36,0,3,6,0,0,0,0,0,0,0,1,7.0
0,ARI201904130,kellm002,34,31,1,8,5,0,0,0,0,1,0,0,4,5.0
0,NYN201909090,kellm002,33,31,2,7,5,0,0,0,0,1,1,1,3,6.0
0,ARI201908290,kellm002,28,29,0,3,4,0,0,1,0,3,1,0,3,4.0
0,ARI201906180,kellm002,26,28,1,8,5,0,0,1,0,0,0,0,5,6.0
