,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHA201409132,carrs001,31,29,1,4,2,0,0,0,0,2,0,1,4,5.0
0,DET201409230,carrs001,33,30,0,5,4,0,0,0,0,2,0,0,1,6.0
0,CHA201408290,carrs001,36,33,0,10,2,0,0,0,0,0,0,0,3,5.0
0,CHA201408170,carrs001,25,31,1,8,2,0,0,0,0,3,0,0,4,5.666666666666667
0,CLE201405030,carrs001,40,32,0,5,0,0,0,0,0,1,0,1,0,6.0
0,TOR201406260,carrs001,29,33,0,7,4,0,0,0,0,2,0,0,3,5.0
0,OAK201405130,carrs001,33,25,1,11,2,0,0,1,0,1,0,0,6,5.0
0,CHA201407012,carrs001,30,27,1,10,2,0,0,1,0,3,0,1,6,6.0
0,SEA201408070,carrs001,40,27,3,7,3,0,0,0,1,2,1,1,5,5.0
0,KCA201405190,carrs001,37,25,0,8,2,0,0,0,0,3,0,1,5,4.0
0,CHA201408020,carrs001,30,36,0,7,4,0,0,1,0,2,0,0,4,7.0
0,CHA201404270,carrs001,40,29,0,6,3,0,0,1,0,2,0,1,0,7.333333333333333
0,CHA201405080,carrs001,31,27,2,11,2,0,0,0,0,2,0,2,6,4.0
0,CLE201409070,carrs001,37,33,0,7,1,0,0,0,0,1,0,0,1,7.0
0,NYA201408230,carrs001,32,21,1,7,0,0,0,0,0,3,0,0,4,6.0
0,CLE201407120,carrs001,33,21,0,2,3,0,0,0,0,1,0,1,0,5.0
0,MIN201407270,carrs001,24,28,0,4,4,0,0,0,0,1,0,0,1,6.0
0,CHA201407220,carrs001,29,30,1,11,3,0,0,0,0,2,0,0,3,5.0
0,BOS201407070,carrs001,38,35,0,1,5,0,0,0,0,2,0,0,0,6.666666666666667
