,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHN201707090,kuhlc001,23,35,0,2,4,0,0,0,0,3,0,0,1,3.0
0,WAS201805010,kuhlc001,27,52,4,4,3,0,0,0,0,2,0,0,4,4.666666666666667
0,SLN201706250,kuhlc001,34,65,1,8,6,0,0,0,0,1,0,0,3,5.0
0,PIT201609260,kuhlc001,33,51,1,8,3,0,0,2,0,2,0,1,5,3.0
0,PIT201608090,kuhlc001,36,57,0,5,4,0,0,0,0,4,0,0,2,5.666666666666667
0,MIA201804130,kuhlc001,36,58,0,11,2,0,0,1,0,1,0,0,3,5.0
0,PIT201708190,kuhlc001,42,50,0,3,6,0,0,1,0,1,0,1,1,5.0
0,CIN201709150,kuhlc001,41,60,4,8,6,0,0,0,0,3,0,0,4,4.666666666666667
0,PIT201704080,kuhlc001,46,46,0,5,5,0,0,0,0,4,2,1,2,4.666666666666667
0,TOR201708130,kuhlc001,41,55,1,4,6,0,0,1,0,5,0,0,4,5.0
0,OAK201607020,kuhlc001,29,62,0,7,2,0,0,0,0,0,0,0,2,6.0
0,PIT201804180,kuhlc001,40,58,1,4,4,0,0,0,0,3,0,1,1,6.0
0,PIT201804252,kuhlc001,40,60,1,6,8,0,0,1,0,1,0,0,3,6.0
0,CHN201608300,kuhlc001,33,58,1,4,5,0,0,0,0,2,0,1,3,5.0
0,WAS201607170,kuhlc001,31,55,0,1,5,0,0,0,0,0,0,1,0,6.0
0,PIT201608200,kuhlc001,26,49,1,5,0,0,0,0,0,0,0,0,2,6.0
0,PIT201606260,kuhlc001,38,44,1,4,5,0,0,0,0,4,0,0,3,4.666666666666667
0,PIT201708080,kuhlc001,34,56,0,5,6,0,0,2,0,1,0,0,3,6.0
0,PIT201607090,kuhlc001,17,38,1,7,1,0,0,0,0,1,0,0,3,2.3333333333333335
0,PIT201704240,kuhlc001,29,34,1,8,1,0,0,0,0,2,2,0,9,1.6666666666666665
0,SLN201704180,kuhlc001,24,48,0,3,3,0,0,0,0,1,0,1,2,6.0
0,SDN201707280,kuhlc001,42,59,0,4,4,0,0,0,0,4,1,0,1,5.333333333333333
0,PIT201709040,kuhlc001,38,62,0,4,8,0,0,0,0,2,0,0,0,7.0
0,SLN201806020,kuhlc001,37,55,1,4,5,0,0,1,0,2,0,1,2,6.0
0,PIT201806210,kuhlc001,21,32,2,8,2,0,0,0,0,1,0,0,8,2.0
0,PHI201707060,kuhlc001,38,57,0,6,3,0,1,0,0,3,0,0,2,7.0
0,PIT201708030,kuhlc001,35,61,0,4,6,0,0,0,0,2,0,0,0,7.0
0,PIT201706140,kuhlc001,24,51,1,4,3,0,0,0,0,1,0,0,3,5.0
0,PIT201707010,kuhlc001,29,46,1,2,3,0,0,0,0,1,0,0,1,6.0
0,MIL201706200,kuhlc001,40,58,1,7,6,0,0,0,0,2,0,1,2,5.0
0,SLN201709090,kuhlc001,35,56,1,2,6,0,0,0,0,5,0,0,1,6.0
0,BOS201704130,kuhlc001,25,67,0,5,6,0,0,0,0,0,0,0,1,6.333333333333333
0,SLN201610010,kuhlc001,30,50,0,8,5,0,0,0,0,1,0,0,0,5.0
0,COL201707220,kuhlc001,44,62,0,9,4,0,0,1,1,1,0,0,4,6.0
0,PIT201806150,kuhlc001,32,65,0,6,6,0,0,0,0,2,1,0,1,6.0
0,PIT201709270,kuhlc001,32,48,0,8,5,0,0,0,0,1,0,1,3,5.0
0,CHN201806080,kuhlc001,38,68,0,8,6,0,0,0,0,2,0,1,3,5.333333333333333
0,MIA201704300,kuhlc001,25,48,0,7,4,0,0,0,0,1,0,0,1,4.0
0,PIT201705260,kuhlc001,28,68,2,8,3,0,0,0,0,0,0,0,5,4.333333333333333
0,PIT201805120,kuhlc001,38,52,2,6,6,0,0,0,0,4,0,0,3,5.666666666666667
0,PIT201705210,kuhlc001,29,53,0,1,5,0,0,0,0,2,0,0,0,5.0
0,MIL201609210,kuhlc001,35,56,0,5,6,0,0,0,0,1,0,0,1,6.0
0,PHI201609150,kuhlc001,20,48,0,4,5,0,0,0,0,0,0,0,2,6.0
0,DET201804012,kuhlc001,30,55,1,8,4,0,0,0,0,0,0,0,4,5.666666666666667
0,BAL201706070,kuhlc001,38,49,0,4,4,0,0,0,0,4,0,0,1,5.0
0,LAN201705100,kuhlc001,31,48,1,6,4,0,0,0,0,2,0,0,4,5.0
0,PIT201707170,kuhlc001,40,63,0,4,7,0,0,1,0,2,1,1,2,5.666666666666667
0,PIT201804070,kuhlc001,44,54,0,5,7,0,0,1,0,3,0,1,2,5.0
0,PIT201609050,kuhlc001,28,30,0,4,2,0,0,0,0,3,0,1,3,2.0
0,NYN201806260,kuhlc001,33,40,0,3,4,0,0,3,0,2,0,0,2,4.0
0,PIT201805170,kuhlc001,35,50,0,6,5,0,0,0,0,2,0,0,4,4.333333333333333
0,CHN201708290,kuhlc001,40,60,1,7,7,0,0,1,0,2,1,0,2,5.333333333333333
0,PIT201805280,kuhlc001,40,53,1,4,5,0,0,0,0,4,0,0,1,6.0
0,MIL201608250,kuhlc001,30,52,1,5,5,0,0,0,0,2,0,0,2,6.333333333333333
0,MIL201805060,kuhlc001,47,61,0,1,8,0,0,0,0,2,0,0,0,7.0
0,PIT201705310,kuhlc001,38,50,0,3,4,0,0,0,0,3,0,0,2,5.0
0,PIT201708240,kuhlc001,42,51,1,6,2,0,1,0,0,5,0,0,2,4.0
0,CIN201805230,kuhlc001,26,52,1,5,6,0,0,0,0,1,0,0,1,6.0
0,PIT201705160,kuhlc001,35,54,1,10,3,0,0,0,0,1,0,0,5,4.0
0,PIT201705050,kuhlc001,11,32,0,2,2,0,0,0,0,0,0,0,0,3.0
0,LAN201608140,kuhlc001,35,67,1,6,5,0,0,0,0,0,0,0,2,6.0
