,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PIT201708060,tailj001,34,37,0,5,8,0,0,0,0,2,0,0,2,6.333333333333333
0,PIT201608110,tailj001,41,31,0,3,4,0,0,0,0,2,0,0,0,8.0
0,PIT201904250,tailj001,19,28,0,6,5,0,0,0,0,0,0,1,5,5.0
0,MIN201808140,tailj001,29,29,0,7,4,0,0,0,0,1,0,0,3,6.0
0,CHN201704160,tailj001,35,38,0,7,6,0,0,0,0,3,0,0,0,7.0
0,SLN201706230,tailj001,37,36,1,4,7,0,0,0,0,2,0,0,2,5.666666666666667
0,CIN201809290,tailj001,25,33,1,7,7,0,0,0,0,0,0,0,3,6.0
0,PIT201805110,tailj001,18,15,0,1,5,0,0,0,0,1,0,0,0,3.0
0,PIT201608220,tailj001,35,30,1,4,8,0,0,0,0,1,0,0,2,8.0
0,MIL201608270,tailj001,20,18,2,7,3,0,0,0,0,1,1,0,5,2.6666666666666665
0,PIT201606240,tailj001,26,23,0,8,2,0,0,0,1,1,0,0,3,4.0
0,PIT201606080,tailj001,29,29,1,6,3,0,0,0,0,2,0,0,3,6.0
0,CHN201904080,tailj001,20,24,0,4,4,0,0,0,0,1,1,1,0,2.0
0,PIT201708170,tailj001,30,28,1,7,7,0,0,0,0,3,0,0,4,5.0
0,PIT201607190,tailj001,21,20,0,5,3,0,0,0,0,0,0,0,1,6.0
0,NYN201606140,tailj001,28,32,0,2,5,0,0,0,0,1,0,1,0,8.0
0,PIT201808190,tailj001,32,34,1,5,8,0,0,0,0,3,0,0,1,6.0
0,MIL201607300,tailj001,28,30,1,6,6,0,0,1,0,0,0,0,2,6.0
0,PIT201804020,tailj001,30,35,1,4,9,0,0,1,0,0,0,0,1,5.333333333333333
0,PIT201804080,tailj001,40,40,0,1,7,0,0,0,0,2,0,1,0,9.0
0,MIL201805050,tailj001,33,28,0,6,1,0,0,0,0,1,1,0,1,5.0
0,PIT201809180,tailj001,33,41,0,4,11,0,0,0,0,1,0,0,0,6.666666666666667
0,CIN201903280,tailj001,21,32,1,5,4,0,0,0,0,2,0,0,2,6.0
0,CIN201705030,tailj001,28,27,2,8,6,0,0,0,0,1,0,1,6,5.0
0,ATL201808310,tailj001,26,38,2,5,7,0,0,0,0,1,0,1,2,7.0
0,SFN201707250,tailj001,29,23,0,9,1,0,0,0,0,0,1,1,8,3.0
0,PIT201709020,tailj001,33,34,0,3,4,0,0,1,0,0,1,0,0,6.0
0,CIN201609171,tailj001,31,22,1,9,2,0,1,0,0,1,0,0,3,5.0
0,NYN201806250,tailj001,31,38,0,4,5,0,0,0,0,3,0,0,1,6.0
0,PIT201609070,tailj001,31,33,0,6,5,0,0,0,0,1,0,1,2,5.0
0,CIN201805220,tailj001,28,34,1,8,8,0,0,0,0,0,1,0,6,6.0
0,PIT201707150,tailj001,29,26,0,8,5,0,0,0,0,0,0,0,4,5.0
0,MIA201704280,tailj001,35,28,0,5,4,0,0,0,0,2,0,0,1,5.0
0,WAS201804300,tailj001,32,37,0,7,5,0,0,1,0,1,1,0,3,6.0
0,PIT201609230,tailj001,24,31,1,6,7,0,0,0,0,0,0,0,3,5.0
0,CIN201708270,tailj001,35,32,0,5,4,0,1,1,0,4,0,0,0,4.0
0,PIT201904200,tailj001,22,26,0,4,3,0,0,0,0,1,0,0,1,4.666666666666667
0,PIT201609280,tailj001,36,29,1,1,4,0,0,0,0,3,0,0,1,6.0
0,SLN201806010,tailj001,36,35,0,3,6,0,0,0,0,1,0,0,0,8.0
0,MIA201804140,tailj001,36,30,0,4,2,0,0,0,0,2,1,0,0,6.0
0,CHN201809240,tailj001,34,32,1,5,5,0,0,0,0,3,0,0,1,7.0
0,PIT201706120,tailj001,31,27,0,5,5,0,0,1,0,2,0,0,0,5.0
0,PIT201807070,tailj001,17,29,0,5,6,0,0,0,0,0,0,0,2,6.666666666666667
0,SFN201608160,tailj001,25,33,0,6,5,0,0,0,0,1,0,0,3,6.0
0,WAS201709300,tailj001,33,32,0,4,5,0,0,1,0,0,1,0,1,7.0
0,PIT201607240,tailj001,28,28,2,7,7,0,2,0,0,0,0,0,3,6.0
0,CHN201606190,tailj001,30,26,3,8,5,0,0,0,1,1,0,0,4,4.0
0,SLN201809120,tailj001,29,36,0,4,4,0,0,0,0,2,0,0,1,7.0
0,CIN201807200,tailj001,31,34,0,6,6,0,0,0,0,1,0,0,1,5.333333333333333
0,PHI201804190,tailj001,20,18,1,4,3,0,0,0,0,2,0,1,5,1.6666666666666665
0,PIT201806070,tailj001,29,31,1,8,7,0,0,0,0,1,0,0,3,5.0
0,TEX201905010,tailj001,29,31,2,5,5,0,0,1,0,2,0,0,3,6.333333333333333
0,PIT201804251,tailj001,18,31,2,10,3,0,0,0,0,0,0,0,6,3.6666666666666665
0,PIT201807310,tailj001,25,28,1,7,2,0,0,0,0,2,0,1,3,6.666666666666667
0,PIT201608050,tailj001,30,36,0,6,6,0,0,0,0,1,0,0,1,6.0
0,PIT201709240,tailj001,31,26,1,4,6,0,0,0,0,1,0,0,1,5.0
0,TOR201708110,tailj001,30,31,1,6,7,0,0,0,0,1,0,0,2,6.0
0,PIT201706290,tailj001,32,38,0,7,4,0,0,0,0,2,0,1,0,6.333333333333333
0,PIT201806190,tailj001,31,37,1,7,7,0,0,0,0,1,0,0,3,5.0
0,SEA201606290,tailj001,27,32,0,6,6,0,0,0,0,0,0,0,1,6.0
0,PHI201707040,tailj001,36,34,0,4,9,0,0,0,0,2,0,0,0,5.0
0,PIT201704110,tailj001,28,26,1,4,4,0,0,0,0,1,0,1,2,6.0
0,PIT201807120,tailj001,32,38,1,4,10,0,0,0,0,2,0,0,1,6.0
0,PIT201708010,tailj001,31,31,2,11,3,0,0,0,0,1,0,0,8,3.6666666666666665
0,PIT201704220,tailj001,30,31,1,5,4,0,0,0,0,3,0,0,3,5.333333333333333
0,ARI201806130,tailj001,34,37,1,6,4,0,0,0,0,2,0,0,2,7.0
0,PIT201904030,tailj001,28,31,1,3,5,0,0,0,0,0,0,0,1,7.0
0,BOS201704050,tailj001,33,33,0,5,6,0,0,1,0,3,0,0,0,7.0
0,WAS201904140,tailj001,25,27,0,7,4,0,0,0,0,1,0,0,3,6.0
0,PIT201706180,tailj001,25,29,0,8,4,0,0,0,0,1,0,0,4,5.0
0,SDN201807010,tailj001,30,30,1,7,4,0,0,0,0,3,0,0,3,4.666666666666667
0,PIT201707200,tailj001,40,38,0,6,8,0,0,0,0,2,0,0,2,5.333333333333333
0,CLE201807250,tailj001,31,25,0,7,5,0,0,0,0,1,0,0,2,6.666666666666667
0,PIT201805270,tailj001,23,29,0,5,6,0,0,0,0,1,0,0,1,6.333333333333333
0,PIT201709070,tailj001,20,27,0,11,3,0,0,0,0,1,0,0,6,4.666666666666667
0,PIT201809050,tailj001,33,33,1,8,6,0,0,0,0,0,0,1,1,5.0
0,PIT201609020,tailj001,23,22,0,3,4,0,1,0,0,0,0,1,1,6.0
0,PIT201708220,tailj001,42,26,0,5,1,0,0,0,0,5,0,0,5,5.0
0,PIT201709180,tailj001,37,26,1,6,4,0,0,1,0,1,0,0,2,5.0
0,MIL201808250,tailj001,39,33,1,5,8,0,0,0,0,0,0,0,1,6.0
