,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ATL201709200,simsl001,27,21,1,3,6,0,0,0,0,1,1,0,1,5.0
0,MIL201907240,simsl001,26,24,2,3,5,0,0,0,0,2,0,0,3,4.666666666666667
0,ATL201708060,simsl001,33,39,2,6,3,0,0,0,0,2,0,1,4,6.0
0,PHI201708280,simsl001,27,39,1,8,7,0,1,0,0,1,0,0,4,6.333333333333333
0,SLN201708120,simsl001,33,31,1,10,3,0,0,0,0,1,0,2,4,5.333333333333333
0,CIN201909030,simsl001,8,12,0,3,2,0,0,0,0,0,0,0,1,2.6666666666666665
0,COL201708170,simsl001,34,33,0,5,2,0,0,0,0,3,0,0,2,5.0
0,PIT201909280,simsl001,20,13,0,2,1,0,0,0,0,1,0,0,2,2.0
0,CHN201709020,simsl001,30,23,2,6,4,0,0,0,0,4,0,0,5,3.0
0,CIN201905280,simsl001,30,41,1,6,9,0,0,0,0,1,0,1,4,7.333333333333333
0,ATL201708010,simsl001,29,34,1,6,3,0,1,0,0,0,0,1,3,6.0
0,ATL201708220,simsl001,34,33,0,3,4,0,0,0,0,2,0,0,0,6.0
0,NYN201709251,simsl001,33,30,0,5,6,0,0,0,0,2,0,0,0,6.666666666666667
0,MIA201709300,simsl001,26,17,1,7,1,0,0,0,0,3,1,0,6,2.0
